name,liver_dice,liver_nsd,tumor_dice,tumor_nsd
liver_0,0.9591266670088052,0.8944347617267684,0.6910403972015347,0.8070617305622164
liver_1,0.9544961522219502,0.8759194951475486,0.7567671584348942,0.8793452889409361
liver_10,0.9728114242486241,0.9423104867836184,0.4194846145482222,0.5766508502225006
liver_100,0.9479536504240506,0.8787856536059373,0.8541830738474586,0.6626994670684786
liver_101,0.971263110243207,0.9203111600552102,0.8907413649590347,0.8976037450434349
liver_102,0.9735726571776788,0.9190949023480914,0.6506797264206704,0.3421949093262226
liver_104,0.9294322578358023,0.7397641472833734,0.014090755825303022,0.1044550045582303
liver_105,0.9811244811726854,0.9723704569496489,0.0,0.0
liver_106,0.9802193483009738,0.966812026998489,0.0,0.0
liver_107,0.9739029076333766,0.9511799908861561,0.727602523659306,0.8799616401440071
liver_108,0.9034766477085384,0.83757536215753,0.817177249328035,0.8392101892814234
liver_109,0.9680099748049074,0.9008608335913713,0.664010842949462,0.7352502757536539
liver_11,0.9621614545882513,0.8668848344850515,0.30778774786750857,0.4366661670025916
liver_103,0.968110724050059,0.9164141529314952,0.8312747806366674,0.6944388985296792
